muni_co,muni,dep_co,dep,votval,abelardo,ivan,paloma,votant
07256,SANTA SOFIA,07,BOYACA,2113,1505,300,195,2127
07250,SANTANA,07,BOYACA,3868,2392,935,376,3903
11076,SANTANDER DE QUILICHAO,11,CAUCA,55584,12819,36828,2257,57034
64016,SANTIAGO,64,PUTUMAYO,3655,646,2767,107,3702
72002,SANTA ROSALIA,72,VICHADA,1640,1206,289,73,1658
01253,SANTO DOMINGO,01,ANTIOQUIA,5285,2965,861,965,5376
24094,SANTUARIO,24,RISARALDA,5477,3020,1236,687,5638
03049,SANTO TOMAS,03,ATLANTICO,14141,4822,8522,279,14225
25082,SANTIAGO,25,NORTE DE SAN,2142,1629,255,130,2150
40025,SARAVENA,40,ARAUCA,20253,8564,8924,954,20743
25085,SARDINATA,25,NORTE DE SAN,10643,8716,947,417,10734
23130,SAPUYES,23,NARIÑO,3567,876,2382,199,3608
15235,SASAIMA,15,CUNDINAMARCA,6052,3590,1390,564,6148
07259,SATIVANORTE,07,BOYACA,1341,937,175,159,1351
07262,SATIVASUR,07,BOYACA,606,371,134,61,612
31097,SEVILLA,31,VALLE,18725,7471,7716,2086,19252
15238,SESQUILE,15,CUNDINAMARCA,6854,2970,2779,418,7075
15239,SIBATE,15,CUNDINAMARCA,18682,7196,8296,1387,19037
07265,SIACHOQUE,07,BOYACA,3668,1880,854,615,3740
25088,SILOS,25,NORTE DE SAN,3022,2628,120,166,3032
64019,SIBUNDOY,64,PUTUMAYO,7196,1467,5006,381,7266
01259,SEGOVIA,01,ANTIOQUIA,11981,3588,6457,445,12200
28260,SINCE,28,SUCRE,14072,6093,6856,600,14230
15241,SILVANIA,15,CUNDINAMARCA,13275,7081,3962,1369,13475
27196,SIMACOTA,27,SANTANDER,4057,2732,827,297,4105
28001,SINCELEJO,28,SUCRE,125329,45664,71183,3264,126701
11082,SILVIA,11,CAUCA,13219,2033,9739,603,13828
05097,SIMITI,05,BOLIVAR,6558,3770,2035,179,6635
15244,SIMIJACA,15,CUNDINAMARCA,6815,4122,1679,404,6891
21079,SITIONUEVO,21,MAGDALENA,7452,2413,4427,202,7533
17040,SIPI,17,CHOCO,1079,83,939,22,1100
07268,SOATA,07,BOYACA,4898,2807,1301,500,4952
01256,SANTUARIO,01,ANTIOQUIA,21930,16197,2126,1782,22139
15247,SOACHA,15,CUNDINAMARCA,255080,72682,139603,17093,259197
07274,SOCHA,07,BOYACA,3903,1879,1120,641,3964
07271,SOCOTA,07,BOYACA,3112,1997,562,356,3157
44022,SOLANO,44,CAQUETA,3003,729,2005,68,3076
44024,SOLITA,44,CAQUETA,2282,1227,744,94,2341
